,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1484,1484,26697,Cómo entrenar a tu dragón 2,How to Train Your Dragon 2,"['Fantasía', 'Acción', 'Aventura', 'Animación', 'Comedia', 'Familia']",['Dean DeBlois'],"['parent child relationship', 'wife husband relationship', 'sacrifice', 'viking', 'sequel', 'rescue', 'dragon', 'death of husband', 'warrior', '3d']","['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera']",69
1485,1485,26863,El arco,활,"['Drama', 'Romance']",['Kim Ki-duk'],"['age difference', 'wife husband relationship', 'boat', 'little girl', 'south korea']","['Seo Ji-Seok', 'Jeon Kuk-hwan', 'Seong-hwang Jeon', 'Han Yeo-reum', 'Jo Seok-hyeon']",20
1486,1486,26878,Hysteria,Hysteria,"['Comedia', 'Romance']",['Tanya Wexler'],"['london england', 'hysteria', 'hospital', 'doctor', 'vibrator', 'masturbation', 'court trial', 'horny female', 'sexually empowered woman', 'treatment', 'expert witness', 'ex prostitute', 'electrical device', 'self love', 'private practice', 'duringcreditsstinger', 'woman director']","['Maggie Gyllenhaal', 'Hugh Dancy', 'Jonathan Pryce', 'Felicity Jones', 'Rupert Everett']",22
1487,1487,26909,Soy el número cuatro,I Am Number Four,"['Acción', 'Suspense', 'Ciencia ficción', 'Aventura']",['D.J. Caruso'],"['based on novel or book', 'secret identity', 'alien', 'heroism', 'teenage boy', 'town', 'super power', 'teenage hero', 'alien teenager', 'interspecies romance', 'based on young adult novel']","['Alex Pettyfer', 'Timothy Olyphant', 'Teresa Palmer', 'Dianna Agron', 'Callan McAuliffe']",53
1488,1488,26966,Con el amor no hay quien pueda,I Hate Valentine's Day,"['Comedia', 'Romance']",['Nia Vardalos'],['woman director'],"['Nia Vardalos', 'John Corbett', 'Jason Mantzoukas', 'Judah Friedlander', 'Zoe Kazan']",22
1489,1489,27001,"Te quiero, tío","I Love You, Man",['Comedia'],['John Hamburg'],"['poker', 'bondage', 'duringcreditsstinger']","['Paul Rudd', 'Jason Segel', 'Rashida Jones', 'Andy Samberg', 'J.K. Simmons']",11
1519,1519,28650,Jim: The James Foley Story,Jim: The James Foley Story,['Documental'],['Brian Oakes'],[],"['Ben Chase', 'Diane Foley', 'James Foley', 'John Foley', 'Michael D. Joseph']",14
1520,1520,28672,Jimmy Neutron: El niño inventor,Jimmy Neutron: Boy Genius,"['Acción', 'Aventura', 'Animación', 'Comedia', 'Familia', 'Fantasía', 'Ciencia ficción']",['John A. Davis'],"['showdown', 'laser gun', 'gi', 'villain', 'genius', 'alien', 'rescue', 'miniaturization', 'robot', 'battle', 'spear', 'boy genius']","['Debi Derryberry', 'Megan Cavanagh', 'Mark DeCarlo', 'Jeffrey Garcia', 'Patrick Stewart']",88
1521,1521,28682,Jindabyne,Jindabyne,"['Crimen', 'Drama', 'Misterio', 'Suspense']",['Ray Lawrence'],"['small town', 'fishing', 'male friendship', 'australia', 'marriage crisis', 'marriage', 'friendship', 'murder', 'australian aborigine', 'aboriginal', 'aborigine']","['Laura Linney', 'Gabriel Byrne', 'Deborra-Lee Furness', 'John Howard', 'Leah Purcell']",43
1522,1522,28746,jOBS,Jobs,"['Drama', 'Historia']",['Joshua Michael Stern'],"['biography', 'computer', 'based on a true story', 'apple computer', 'steve jobs', 'entrepreneur']","['Ashton Kutcher', 'Dermot Mulroney', 'Amanda Crew', 'James Woods', 'Josh Gad']",21
1523,1523,28815,John Carter,John Carter,"['Acción', 'Aventura', 'Ciencia ficción']",['Andrew Stanton'],"['based on novel or book', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'alien race', 'superhuman strength', 'martian civilization', 'sword and planet', '19th century', '3d']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church']",41
1524,1524,28861,Johnny English returns,Johnny English Reborn,"['Crimen', 'Aventura', 'Acción', 'Comedia', 'Suspense']",['Oliver Parker'],"['buddhist monk', 'cooking', 'prime minister', 'kitchen', 'secret agent', 'sequel', 'mind control', 'james bond spoof', 'incompetence', 'klutz', 'aftercreditsstinger', 'assassination attempt']","['Rowan Atkinson', 'Dominic West', 'Gillian Anderson', 'Rosamund Pike', 'Daniel Kaluuya']",55
1528,1528,29292,Juno,Juno,"['Comedia', 'Drama', 'Romance']",['Jason Reitman'],"['sexuality', 'becoming an adult', 'puberty', 'first time', 'pregnancy and birth', 'pregnant minor', 'precocity', 'partnership', 'teenager', 'teenage pregnancy']","['Ellen Page', 'Michael Cera', 'Jennifer Garner', 'Jason Bateman', 'Allison Janney']",31
