,id,title,title_original,genres,director,keywords,cast
1960,79830,Lens,ലെൻസ്,['Suspense'],['Jayaprakash Radakrishnan'],"['blackmail', 'cybercrime', 'video chat', 'cyber thriller']","['Anand Sami', 'Jayaprakash Radakrishnan', 'Aswathy Lal', 'Misha Ghoshal', 'Kulothungan Udayakumar']"
1961,79831,Liar's Dice,Liar's Dice,[],['Geethu Mohandas'],['woman director'],"['Nawazuddin Siddiqui', 'Geetanjali Thapa', 'Manya Gupta']"
1962,79832,Lída Baarová,Lída Baarová,"['Historia', 'Romance', 'Drama']",['Filip Renč'],[],"['Tatiana Pauhofová', 'Gedeon Burkhard', 'Karl Markovics', 'Pavel Kříž', 'Jiří Mádl']"
1963,79834,Loev,Loev,"['Drama', 'Romance']",['Sudhanshu Saria'],"['gay', 'bombay india', 'friendship', 'visit', 'indian lgbt']","['Shiv Pandit', 'Dhruv Ganesh', 'Siddharth Menon', 'Rishabh J. Chaddha']"
1964,79835,Sueño lúcido,루시드 드림,"['Ciencia ficción', 'Suspense']",['Kim Joon-Sung'],['child kidnapping'],"['Go Soo', 'Sol Kyung-gu', 'Park Yoo-chun', 'Kang Hye-jung', 'Park In-hwan']"
1965,79837,Losing Sight of Shore,Losing Sight of Shore,['Documental'],['Sarah Moshman'],[],[]
1966,79839,LoveTrue,LoveTrue,['Documental'],"[""Alma Har'el""]","['love', 'woman director']",[]
1967,79841,Marco Luque - We are together,Marco Luque - Tamo Junto,['Comedia'],[],[],['Marco Luque']
1968,79842,Maria Bamford: Old Baby,Maria Bamford: Old Baby,[],[],[],[]
1969,79843,Maya Angelou: And Still I Rise,Maya Angelou: And Still I Rise,['Documental'],"['Bob Hercules', 'Rita Coburn Whack']","['poet', 'feminist activism']","['Maya Angelou', 'Bill Clinton', 'Hillary Clinton', 'Common', 'Louis Gossett, Jr.']"
1970,79844,Michael Lost and Found,Michael Lost and Found,['Documental'],['Daniel Wilner'],"['gay', 'homosexuality', 'religion', 'lgbt']",[]
1971,79845,Mindhorn,Mindhorn,['Comedia'],['Sean Foley'],"['amateur detective', 'murderer', 'aging actor', 'police investigation', 'isle of man', 'crime spoof', 'failed actor']","['Julian Barratt', 'Simon Farnaby', 'Essie Davis', 'Steve Coogan', 'Richard McCabe']"
1972,79846,Moh Maya Money,मोह माया मनी,"['Suspense', 'Crimen', 'Drama']",['Munish Bhardwaj'],"['plan gone wrong', 'scam', 'real estate']","['Ranvir Shorey', 'Neha Dhupia']"
1973,79847,Mostly Sunny,Mostly Sunny,['Documental'],['Dilip Mehta'],"['pornography', 'career', 'bollywood', 'penthouse']","['Sunny Leone', 'Sundeep Vohra', 'Daniel Weber']"
1974,79848,Motu Patlu: King Of Kings,Motu Patlu: King Of Kings,['Animación'],['Suhas Kadav'],[],"['Vinay Pathak', 'Saurav Chakraborty']"
1975,79850,National Bird,National Bird,['Documental'],['Sonia Kennebeck'],['woman director'],['Jesselyn Radack']
1976,79851,Nieve negra,Nieve negra,"['Misterio', 'Drama', 'Crimen', 'Suspense']",['Martín Hodara'],"['isolation', 'cabin', 'snow', 'hunt', 'dark past']","['Ricardo Darín', 'Leonardo Sbaraglia', 'Laia Costa', 'Dolores Fonzi', 'Federico Luppi']"
1977,79852,Nobody Speak: Trials of the Free Press,Nobody Speak: Trials of the Free Press,['Documental'],['Brian Knappenberger'],[],['Hulk Hogan']
1978,79853,"Norm Macdonald: Hitler's Dog, Gossip & Trickery","Norm Macdonald: Hitler's Dog, Gossip & Trickery",[],[],[],[]
1979,79854,"Oh, Hello: On Broadway","Oh, Hello: On Broadway",['Comedia'],"['Michael John Warren', 'Alex Timbers']",['broadway'],"['Nick Kroll', 'John Mulaney', 'Steve Martin', 'Matthew Broderick']"
1980,79855,Okja,Okja,"['Aventura', 'Drama', 'Fantasía', 'Ciencia ficción']",['Bong Joon-ho'],"['monster', 'slaughterhouse', 'twins', 'environmentalist', 'aftercreditsstinger', 'animal liberation', 'zoologist']","['Tilda Swinton', 'Paul Dano', 'Ahn Seo-hyun', 'Jake Gyllenhaal', 'Lily Collins']"
1981,79856,1 Night,1 Night,"['Drama', 'Romance']",['Minhal Baig'],"['relationship problems', 'photography', 'love', 'ensemble cast', 'prom night']","['Kyle Allen', 'Isabelle Fuhrman', 'Justin Chatwin', 'Anna Camp', 'Kelli Berglund']"
1982,79857,Pornocracy: The New Sex Multinationals,Pornocratie: Les nouvelles multinationales du sexe,['Documental'],['Ovidie'],"['pornography', 'investigation', 'internet porn', 'woman director']","['Ovidie', 'Pierre Woodman', 'Arwen Gold', 'Stoya', 'Alina Henessy']"
1983,79858,Power Rangers: Megaforce: Raising Spirits,Power Rangers: Megaforce: Raising Spirits,[],[],[],[]
1984,79859,El gato con botas: Atrapado en un cuento épico,Puss in Book: Trapped in an Epic Tale,"['Familia', 'Fantasía', 'Animación', 'Comedia', 'Aventura']","['Roy Burdine', 'Johnny Castuciano']",[],"['Eric Bauza', 'Jayma Mays', 'Maria Bamford', 'Jeff Bennett', 'Ron Funches']"
