,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1125,1125,74375,La llegada,Arrival,"['Suspense', 'Drama', 'Ciencia ficción', 'Misterio']",['Denis Villeneuve'],"['spacecraft', 'language', 'loss', 'romance', 'alien', 'female protagonist', 'scientist', 'family', 'heartbreak', 'based on short story', 'military', 'alien language', 'linguist', 'first contact', 'communication', 'linguistics']","['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg', 'Tzi Ma']",52
1127,1127,74380,Kong: La isla Calavera,Kong: Skull Island,"['Acción', 'Aventura', 'Fantasía']",['Jordan Vogt-Roberts'],"['vietnam veteran', '1970s', 'monster', 'expedition', 'island', 'king kong', 'spin off', 'u.s. soldier', 'kaiju', 'aftercreditsstinger', 'monster island', 'uncharted']","['Tom Hiddleston', 'Samuel L. Jackson', 'Brie Larson', 'John Goodman', 'John C. Reilly']",34
1164,1164,75268,Ethel & Ernest,Ethel & Ernest,"['Animación', 'Drama', 'Bélica']",['Roger Mainwood'],['london england'],"['Jim Broadbent', 'Brenda Blethyn', 'Luke Treadaway', 'Pam Ferris', 'Roger Allam']",32
1165,1165,75317,Coin Locker Girl,차이나타운,"['Drama', 'Suspense']",['Han Jun-hee'],"['murder', 'dysfunctional family', 'debt collector', 'child abandonment', 'loan shark', 'organ theft', 'organ harvest']","['Kim Hye-soo', 'Kim Go-eun', 'Um Tae-goo', 'Park Bo-gum', 'Ko Kyoung-pyo']",21
1167,1167,75325,Crecer Salvajes,Growing Up Wild,['Documental'],['Mark Linfield'],[],['Daveed Diggs'],14
1169,1169,75370,La vida inmortal de Henrietta Lacks,The Immortal Life of Henrietta Lacks,['Drama'],['George C. Wolfe'],"['medical research', 'medical drama']","['Rose Byrne', 'Renée Elise Goldsberry', 'Oprah Winfrey', 'Ninja N. Devoe', 'Lisa Arrindell']",9
1171,1171,75374,Animales nocturnos,Nocturnal Animals,"['Drama', 'Suspense']",[],[],[],21
1204,1204,78154,La bella y la bestia,Beauty and the Beast,"['Familia', 'Fantasía', 'Romance']",['Bill Condon'],"['magic', 'castle', 'fairy tale', 'musical', 'transformation', 'cartoon', 'remake', 'curse', 'creature', '18th century', 'beast']","['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Kevin Kline', 'Josh Gad']",34
1206,1206,78155,"CHiPs, loca patrulla motorizada",CHiPS,"['Acción', 'Comedia', 'Crimen']",['Dax Shepard'],"['police', 'based on tv series', 'police corruption', 'los angeles', 'buddy cop']","['Michael Peña', 'Dax Shepard', 'Jessica McNamee', 'Rosa Salazar', 'Kristen Bell']",31
1208,1208,78183,Los Pitufos: La aldea escondida,Smurfs: The Lost Village,"['Aventura', 'Animación', 'Comedia', 'Familia']",['Kelly Asbury'],"['sequel', 'kids']","['Demi Lovato', 'Rainn Wilson', 'Joe Manganiello', 'Jack McBrayer', 'Danny Pudi']",47
1210,1210,78193,Batman: La LEGO película,The Lego Batman Movie,"['Acción', 'Animación', 'Comedia', 'Familia', 'Fantasía']",['Chris McKay'],"['superhero', 'based on comic', 'based on toy', 'spin off', 'super power', 'dead parents', 'lego']","['Will Arnett', 'Zach Galifianakis', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes']",57
1241,1241,82241,Comanchería,Hell or High Water,"['Crimen', 'Drama', 'Suspense', 'Western']",['David Mackenzie'],"['desperation', 'texas', 'bank robber', 'brother', 'shooting', 'car set on fire', 'gun battle', 'police officer killed', 'criminal', 'held at gunpoint', 'police car', 'small western town', 'saying goodbye', 'bullet hole in windscreen']","['Jeff Bridges', 'Chris Pine', 'Ben Foster', 'Gil Birmingham', 'Marin Ireland']",42
1244,1244,82413,Déjame salir,Get Out,"['Misterio', 'Suspense', 'Terror']",['Jordan Peele'],"['externally controlled action', 'hypnosis', 'parents-in-law', 'satire', 'dark comedy', 'interracial relationship', 'disappearance', 'african american', 'racism', 'stereotype', 'missing', 'race-conscious']","['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener', 'Caleb Landry Jones']",34
1246,1246,83247,Spider-Man: Homecoming,Spider-Man: Homecoming,"['Acción', 'Aventura', 'Ciencia ficción', 'Drama']",['Jon Watts'],"['new york', 'high school', 'superhero', 'based on comic', 'teenager', 'reboot', 'marvel cinematic universe']","['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Zendaya', 'Donald Glover']",50
1250,1250,84020,Una noche fuera de control,Rough Night,"['Drama', 'Comedia']",['Lucia Aniello'],"['miami', 'friendship', 'friends', 'dark comedy', 'drinking', 'male stripper', 'accident', 'bachelorette party']","['Scarlett Johansson', 'Jillian Bell', 'Kate McKinnon', 'Zoë Kravitz', 'Ilana Glazer']",20
1252,1252,84347,#FollowFriday,#FollowFriday,['Suspense'],[],[],"['Courtney Lakin', 'Joseph Poliquin', 'Elliott Armstrong', 'Ramsey Hanchette', 'Ashley Bratcher']",12
1288,1288,1814,4 Little Girls,4 Little Girls,['Documental'],['Spike Lee'],[],"['Maxine McNair', 'Chris McNair', 'Helen Pegues', 'Queen Nunn', 'Arthur Hanes Jr.']",14
1412,1412,11450,Los juicios de Pamela Smart,Captivated: The Trials of Pamela Smart,['Documental'],[],[],[],14
1441,1441,13218,Clear history,Clear History,['Comedia'],['Greg Mottola'],[],"['Larry David', 'Eva Mendes', 'Kate Hudson', 'Danny McBride', 'Jon Hamm']",11
